GEOID,NAME,total,owner,renter,pct_renting,pct_owner
36030,Assembly District 30 (2022); New York,46778,16515,30263,64.69494206678353,35.30505793321647
36031,Assembly District 31 (2022); New York,39944,21259,18685,46.777989184858804,53.222010815141196
36032,Assembly District 32 (2022); New York,42742,17735,25007,58.50685508399233,41.49314491600767
36033,Assembly District 33 (2022); New York,40843,30670,10173,24.907572901109127,75.09242709889088
36034,Assembly District 34 (2022); New York,47207,14590,32617,69.09356663206728,30.90643336793272
36035,Assembly District 35 (2022); New York,35469,12806,22663,63.89523245651132,36.10476754348868
36036,Assembly District 36 (2022); New York,57685,9067,48618,84.28187570425587,15.718124295744127
36037,Assembly District 37 (2022); New York,57110,15471,41639,72.91017334967606,27.089826650323936
36038,Assembly District 38 (2022); New York,39752,17111,22641,56.95562487422016,43.04437512577984
36039,Assembly District 39 (2022); New York,42051,12500,29551,70.2741908634753,29.725809136524695
36040,Assembly District 40 (2022); New York,45179,17259,27920,61.798623254166756,38.201376745833244
36041,Assembly District 41 (2022); New York,51717,26489,25228,48.78086509271613,51.21913490728387
36042,Assembly District 42 (2022); New York,47636,10377,37259,78.21605508438996,21.783944915610043
36043,Assembly District 43 (2022); New York,57234,10972,46262,80.82957682496418,19.17042317503582
36044,Assembly District 44 (2022); New York,54918,20312,34606,63.0139480680287,36.9860519319713
36045,Assembly District 45 (2022); New York,46517,15989,30528,65.62762000988886,34.37237999011114
36046,Assembly District 46 (2022); New York,57706,19375,38331,66.42463521990781,33.575364780092194
36047,Assembly District 47 (2022); New York,44882,15699,29183,65.02161222761909,34.97838777238091
36048,Assembly District 48 (2022); New York,34678,10774,23904,68.93131091758464,31.068689082415364
36049,Assembly District 49 (2022); New York,38311,13281,25030,65.33371616507009,34.666283834929914
36050,Assembly District 50 (2022); New York,57686,10341,47345,82.07364005131228,17.926359948687722
36051,Assembly District 51 (2022); New York,41721,10902,30819,73.86927446609621,26.13072553390379
36052,Assembly District 52 (2022); New York,65620,25037,40583,61.845473940871685,38.154526059128315
36053,Assembly District 53 (2022); New York,52747,6424,46323,87.82110830947731,12.178891690522684
36054,Assembly District 54 (2022); New York,42062,11198,30864,73.37739527364367,26.622604726356332
36055,Assembly District 55 (2022); New York,50408,8385,42023,83.3657355975242,16.634264402475797
36056,Assembly District 56 (2022); New York,58763,11994,46769,79.58919728400524,20.41080271599476
36057,Assembly District 57 (2022); New York,58394,13402,44992,77.04901188478269,22.950988115217317
36058,Assembly District 58 (2022); New York,45382,17320,28062,61.83508880172756,38.16491119827244
36059,Assembly District 59 (2022); New York,43007,26157,16850,39.17966842607017,60.82033157392983
36060,Assembly District 60 (2022); New York,49348,11444,37904,76.80959714679419,23.190402853205804
36061,Assembly District 61 (2022); New York,48075,20881,27194,56.565782631305254,43.434217368694746
36062,Assembly District 62 (2022); New York,47394,38595,8799,18.565641220407645,81.43435877959236
36063,Assembly District 63 (2022); New York,47371,32267,15104,31.884486289079817,68.11551371092018
36064,Assembly District 64 (2022); New York,49389,30809,18580,37.619712891534554,62.380287108465446
36065,Assembly District 65 (2022); New York,61841,11433,50408,81.51226532559305,18.487734674406948
36066,Assembly District 66 (2022); New York,67519,22075,45444,67.3054991928198,32.6945008071802
36067,Assembly District 67 (2022); New York,70988,23033,47955,67.55367104299319,32.44632895700682
