year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,total_prison_pop,female_prison_pop,male_prison_pop
1996,MS,Mississippi,28,South,East South Central,1779040,912002,867038,13859,891,12968
1995,MS,Mississippi,28,South,East South Central,1755243,900539,854704,12684,791,11893
1994,MS,Mississippi,28,South,East South Central,1724801,885801,839000,10930,648,10282
1993,MS,Mississippi,28,South,East South Central,1697601,872763,824838,9907,577,9330
1992,MS,Mississippi,28,South,East South Central,1673203,862342,810861,8905,549,8356
1991,MS,Mississippi,28,South,East South Central,1660455,856581,803874,8904,508,8396
1990,MS,Mississippi,28,South,East South Central,1649746,851858,797888,8375,448,7927
1989,MS,Mississippi,28,South,East South Central,1630673,842816,787857,7911,402,7509
1988,MS,Mississippi,28,South,East South Central,1632974,843689,789285,7384,354,7030
1987,MS,Mississippi,28,South,East South Central,1634742,843829,790913,6880,323,6557
1986,MS,Mississippi,28,South,East South Central,1632870,842835,790035,6747,304,6443
1985,MS,Mississippi,28,South,East South Central,1622859,838892,783967,6392,289,6103
1984,MS,Mississippi,28,South,East South Central,1615476,834390,781086,6115,260,5855
1983,MS,Mississippi,28,South,East South Central,1607670,830539,777131,5586,205,5381
1982,MS,Mississippi,28,South,East South Central,1600503,826847,773656,5484,186,5298
1981,MS,Mississippi,28,South,East South Central,1587336,820204,767132,4624,149,4475
1980,MS,Mississippi,28,South,East South Central,1574046,813163,760883,3902,117,3785
1979,MS,Mississippi,28,South,East South Central,1559147,805890,753257,3508,107,3401
1978,MS,Mississippi,28,South,East South Central,1540155,795700,744455,2896,111,2785
1977,MS,Mississippi,28,South,East South Central,1513670,781720,731950,1760,,
1976,MS,Mississippi,28,South,East South Central,1486008,766658,719350,2135,,
1975,MS,Mississippi,28,South,East South Central,1455644,750406,705238,2422,,
1974,MS,Mississippi,28,South,East South Central,1434441,738826,695615,2127,,
1973,MS,Mississippi,28,South,East South Central,1406998,724131,682867,1738,,
1972,MS,Mississippi,28,South,East South Central,1369656,706197,663459,1879,,
1971,MS,Mississippi,28,South,East South Central,1333544,689724,643820,1841,,
1970,MS,Mississippi,28,South,East South Central,1302765,676004,626761,1730,,
1969,MS,Mississippi,28,South,East South Central,1271986,662284,609702,1700,,
1968,MS,Mississippi,28,South,East South Central,,,,1544,,
1967,MS,Mississippi,28,South,East South Central,,,,1667,,
1966,MS,Mississippi,28,South,East South Central,,,,1829,,
1965,MS,Mississippi,28,South,East South Central,,,,2019,,
1964,MS,Mississippi,28,South,East South Central,,,,2056,,
1963,MS,Mississippi,28,South,East South Central,,,,2121,,
1962,MS,Mississippi,28,South,East South Central,,,,2179,,
1961,MS,Mississippi,28,South,East South Central,,,,2068,,
1960,MS,Mississippi,28,South,East South Central,,,,1975,,
1955,MS,Mississippi,28,South,East South Central,,,,2080,,
1950,MS,Mississippi,28,South,East South Central,,,,2158,,
2024,MT,Montana,30,West,Mountain,706013,342477,363536,2916,,
2023,MT,Montana,30,West,Mountain,706013,342477,363536,2789,,
2022,MT,Montana,30,West,Mountain,706013,342477,363536,4691,665,4026
2021,MT,Montana,30,West,Mountain,696176,337835,358341,4313,611,3702
2020,MT,Montana,30,West,Mountain,684380,332481,351899,3927,470,3457
2019,MT,Montana,30,West,Mountain,680726,331453,349273,4723,548,4175
2018,MT,Montana,30,West,Mountain,678779,331128,347651,3765,447,3318
2017,MT,Montana,30,West,Mountain,677347,330733,346614,3698,416,3282
2016,MT,Montana,30,West,Mountain,673445,328907,344538,3814,409,3405
2015,MT,Montana,30,West,Mountain,670303,327742,342561,3685,390,3295
2014,MT,Montana,30,West,Mountain,668296,327564,340732,3699,388,3311
2013,MT,Montana,30,West,Mountain,666543,327239,339304,3642,412,3230
2012,MT,Montana,30,West,Mountain,663264,325989,337275,3609,399,3210
2011,MT,Montana,30,West,Mountain,663131,326444,336687,3678,404,3274
2010,MT,Montana,30,West,Mountain,659114,324734,334380,3716,425,3291
2009,MT,Montana,30,West,Mountain,656427,323266,333161,3605,391,3214
2008,MT,Montana,30,West,Mountain,653452,321869,331583,3517,359,3158
2007,MT,Montana,30,West,Mountain,647885,319169,328716,3431,298,3133
2006,MT,Montana,30,West,Mountain,640371,315428,324943,3563,354,3209
2005,MT,Montana,30,West,Mountain,631667,311362,320305,3509,354,3155
2004,MT,Montana,30,West,Mountain,622989,306991,315998,3164,323,2841
2003,MT,Montana,30,West,Mountain,614387,302810,311577,3620,419,3201
2002,MT,Montana,30,West,Mountain,606694,299365,307329,3323,345,2978
2001,MT,Montana,30,West,Mountain,601347,296887,304460,3328,363,2965
2000,MT,Montana,30,West,Mountain,596518,294898,301620,3105,306,2799
1999,MT,Montana,30,West,Mountain,590534,292032,298502,2951,263,2688
1998,MT,Montana,30,West,Mountain,585877,289921,295956,2734,248,2486
1997,MT,Montana,30,West,Mountain,583084,288721,294363,2541,191,2350
1996,MT,Montana,30,West,Mountain,577166,285782,291384,2230,121,2109
1995,MT,Montana,30,West,Mountain,566659,280652,286007,1999,112,1887
1994,MT,Montana,30,West,Mountain,551146,273066,278080,1764,93,1671
1993,MT,Montana,30,West,Mountain,536988,266251,270737,1541,67,1474
1992,MT,Montana,30,West,Mountain,522397,259501,262896,1548,83,1465
1991,MT,Montana,30,West,Mountain,511674,254378,257296,1478,73,1405
1990,MT,Montana,30,West,Mountain,504819,251392,253427,1425,76,1349
1989,MT,Montana,30,West,Mountain,505000,251520,253480,1328,64,1264
1988,MT,Montana,30,West,Mountain,506818,252537,254281,1272,58,1214
1987,MT,Montana,30,West,Mountain,512147,255084,257063,1207,47,1160
1986,MT,Montana,30,West,Mountain,519691,258768,260923,1111,42,1069
1985,MT,Montana,30,West,Mountain,526069,261836,264233,1129,39,1090
1984,MT,Montana,30,West,Mountain,527445,262366,265079,964,35,929
1983,MT,Montana,30,West,Mountain,525471,261143,264328,903,24,879
1982,MT,Montana,30,West,Mountain,521204,258806,262398,914,29,885
1981,MT,Montana,30,West,Mountain,518048,257002,261046,831,24,807
1980,MT,Montana,30,West,Mountain,515847,255652,260195,739,25,714
1979,MT,Montana,30,West,Mountain,516067,255577,260490,715,20,695
1978,MT,Montana,30,West,Mountain,510544,252935,257609,690,15,675
1977,MT,Montana,30,West,Mountain,499040,247237,251803,621,,
1976,MT,Montana,30,West,Mountain,487516,241474,246042,551,,
1975,MT,Montana,30,West,Mountain,477330,236495,240835,375,,
1974,MT,Montana,30,West,Mountain,465018,230423,234595,336,,
1973,MT,Montana,30,West,Mountain,453966,224915,229051,316,,
1972,MT,Montana,30,West,Mountain,443476,220019,223457,283,,
1971,MT,Montana,30,West,Mountain,433158,215470,217688,250,,
1970,MT,Montana,30,West,Mountain,420725,209808,210917,260,,
1969,MT,Montana,30,West,Mountain,408325,204164,204161,372,,
1968,MT,Montana,30,West,Mountain,,,,466,,
1967,MT,Montana,30,West,Mountain,,,,521,,
1966,MT,Montana,30,West,Mountain,,,,548,,
1965,MT,Montana,30,West,Mountain,,,,586,,
1964,MT,Montana,30,West,Mountain,,,,742,,
1963,MT,Montana,30,West,Mountain,,,,715,,
1962,MT,Montana,30,West,Mountain,,,,674,,
1961,MT,Montana,30,West,Mountain,,,,648,,
1960,MT,Montana,30,West,Mountain,,,,602,,
1955,MT,Montana,30,West,Mountain,,,,529,,
1950,MT,Montana,30,West,Mountain,,,,595,,
2024,NC,North Carolina,37,South,South Atlantic,6956505,3499228,3457277,31972,,
2023,NC,North Carolina,37,South,South Atlantic,6956505,3499228,3457277,31198,,
2022,NC,North Carolina,37,South,South Atlantic,6956505,3499228,3457277,29627,2287,27340
2021,NC,North Carolina,37,South,South Atlantic,6891790,3464386,3427404,28995,2124,26871
2020,NC,North Carolina,37,South,South Atlantic,6820743,3425265,3395478,29461,2107,27354
2019,NC,North Carolina,37,South,South Atlantic,6795892,3415934,3379958,34079,2681,31398
2018,NC,North Carolina,37,South,South Atlantic,6753413,3399835,3353578,34899,2728,32171
2017,NC,North Carolina,37,South,South Atlantic,6707316,3379699,3327617,36394,2841,33553
2016,NC,North Carolina,37,South,South Atlantic,6662471,3360211,3302260,35697,2712,32985
2015,NC,North Carolina,37,South,South Atlantic,6600275,3332503,3267772,36617,2689,33928
2014,NC,North Carolina,37,South,South Atlantic,6554425,3314290,3240135,37096,2641,34455
2013,NC,North Carolina,37,South,South Atlantic,6523275,3301162,3222113,36922,2492,34430
2012,NC,North Carolina,37,South,South Atlantic,6489603,3287313,3202290,37136,2461,34675
2011,NC,North Carolina,37,South,South Atlantic,6469932,3280050,3189882,39440,2640,36800
2010,NC,North Carolina,37,South,South Atlantic,6430647,3259051,3171596,40382,2819,37563
2009,NC,North Carolina,37,South,South Atlantic,6353836,3226985,3126851,39860,2808,37052
2008,NC,North Carolina,37,South,South Atlantic,6272256,3181150,3091106,39482,2778,36704
2007,NC,North Carolina,37,South,South Atlantic,6154808,3123434,3031374,37970,2626,35344
2006,NC,North Carolina,37,South,South Atlantic,6029035,3047019,2982016,37460,2686,34774
2005,NC,North Carolina,37,South,South Atlantic,5886336,2976229,2910107,36365,2589,33776
2004,NC,North Carolina,37,South,South Atlantic,5777342,2915200,2862142,35434,2430,33004
2003,NC,North Carolina,37,South,South Atlantic,5679328,2868403,2810925,33560,2256,31304
2002,NC,North Carolina,37,South,South Atlantic,5619386,2822041,2797345,32832,2173,30659
2001,NC,North Carolina,37,South,South Atlantic,5539572,2776301,2763271,32253,2042,30211
2000,NC,North Carolina,37,South,South Atlantic,5454007,2728939,2725068,31266,1903,29363
1999,NC,North Carolina,37,South,South Atlantic,5362719,2691416,2671303,31086,1880,29206
1998,NC,North Carolina,37,South,South Atlantic,5265331,2647244,2618087,31961,1938,30023
1997,NC,North Carolina,37,South,South Atlantic,5153371,2593947,2559424,31612,1860,29752
1996,NC,North Carolina,37,South,South Atlantic,5043930,2542277,2501653,30647,1868,28779
1995,NC,North Carolina,37,South,South Atlantic,4934880,2488492,2446388,29253,1752,27501
1994,NC,North Carolina,37,South,South Atlantic,4824104,2434140,2389964,23648,1183,22465
1993,NC,North Carolina,37,South,South Atlantic,4732070,2387683,2344387,21892,1120,20772
1992,NC,North Carolina,37,South,South Atlantic,4641708,2341805,2299903,20454,950,19504
1991,NC,North Carolina,37,South,South Atlantic,4581818,2314754,2267064,18903,1021,17882
1990,NC,North Carolina,37,South,South Atlantic,4503463,2277312,2226151,18411,945,17466
1989,NC,North Carolina,37,South,South Atlantic,4451236,2252570,2198666,17454,843,16611
1988,NC,North Carolina,37,South,South Atlantic,4404536,2230716,2173820,17078,783,16295
1987,NC,North Carolina,37,South,South Atlantic,4360317,2208356,2151961,17218,808,16410
1986,NC,North Carolina,37,South,South Atlantic,4302318,2179713,2122605,17698,830,16868
1985,NC,North Carolina,37,South,South Atlantic,4250299,2152489,2097810,17344,747,16597
1984,NC,North Carolina,37,South,South Atlantic,4176973,2117632,2059341,16371,702,15669
1983,NC,North Carolina,37,South,South Atlantic,4101779,2081589,2020190,15395,589,14806
1982,NC,North Carolina,37,South,South Atlantic,4057210,2062805,1994405,16569,696,15873
1981,NC,North Carolina,37,South,South Atlantic,4009424,2038492,1970932,15770,637,15133
1980,NC,North Carolina,37,South,South Atlantic,3957254,2012910,1944344,15513,616,14897
1979,NC,North Carolina,37,South,South Atlantic,3879158,1975015,1904143,14255,564,13691
1978,NC,North Carolina,37,South,South Atlantic,3821380,1945628,1875752,13252,534,12718
1977,NC,North Carolina,37,South,South Atlantic,3752933,1912002,1840931,14189,,
1976,NC,North Carolina,37,South,South Atlantic,3681141,1875180,1805961,11570,,
1975,NC,North Carolina,37,South,South Atlantic,3614644,1839942,1774702,11449,,
1974,NC,North Carolina,37,South,South Atlantic,3547035,1806299,1740736,11006,,
1973,NC,North Carolina,37,South,South Atlantic,3473265,1769807,1703458,9641,,
1972,NC,North Carolina,37,South,South Atlantic,3394418,1727458,1666960,8263,,
1971,NC,North Carolina,37,South,South Atlantic,3310245,1684976,1625269,7795,,
1970,NC,North Carolina,37,South,South Atlantic,3236808,1647640,1589168,5969,,
1969,NC,North Carolina,37,South,South Atlantic,3163377,1610307,1553070,5856,,
1968,NC,North Carolina,37,South,South Atlantic,,,,5686,,
1967,NC,North Carolina,37,South,South Atlantic,,,,5516,,
1966,NC,North Carolina,37,South,South Atlantic,,,,5297,,
1965,NC,North Carolina,37,South,South Atlantic,,,,6029,,
1964,NC,North Carolina,37,South,South Atlantic,,,,4888,,
1963,NC,North Carolina,37,South,South Atlantic,,,,4950,,
1962,NC,North Carolina,37,South,South Atlantic,,,,5409,,
1961,NC,North Carolina,37,South,South Atlantic,,,,5875,,
1960,NC,North Carolina,37,South,South Atlantic,,,,5977,,
1955,NC,North Carolina,37,South,South Atlantic,,,,5334,,
1950,NC,North Carolina,37,South,South Atlantic,,,,5004,,
2024,ND,North Dakota,38,Midwest,West North Central,496250,234559,261691,1929,,
2023,ND,North Dakota,38,Midwest,West North Central,496250,234559,261691,1867,,
2022,ND,North Dakota,38,Midwest,West North Central,496250,234559,261691,1817,233,1584
2021,ND,North Dakota,38,Midwest,West North Central,497477,234953,262524,1689,200,1489
2020,ND,North Dakota,38,Midwest,West North Central,499541,235517,264024,1401,162,1239
2019,ND,North Dakota,38,Midwest,West North Central,500204,236154,264050,1794,209,1585
2018,ND,North Dakota,38,Midwest,West North Central,500267,236346,263921,1695,196,1499
2017,ND,North Dakota,38,Midwest,West North Central,500906,236432,264474,1723,199,1524
2016,ND,North Dakota,38,Midwest,West North Central,503677,237108,266569,1791,213,1578
2015,ND,North Dakota,38,Midwest,West North Central,506271,238111,268160,1795,208,1587
2014,ND,North Dakota,38,Midwest,West North Central,495926,234057,261869,1718,204,1514
2013,ND,North Dakota,38,Midwest,West North Central,486232,230481,255751,1576,157,1419
2012,ND,North Dakota,38,Midwest,West North Central,471559,224716,246843,1512,171,1341
2011,ND,North Dakota,38,Midwest,West North Central,460726,220774,239952,1423,147,1276
2010,ND,North Dakota,38,Midwest,West North Central,452314,217572,234742,1487,179,1308
2009,ND,North Dakota,38,Midwest,West North Central,445561,215006,230555,1486,174,1312
2008,ND,North Dakota,38,Midwest,West North Central,440519,212548,227971,1452,160,1292
2007,ND,North Dakota,38,Midwest,West North Central,437789,211369,226420,1416,147,1269
2006,ND,North Dakota,38,Midwest,West North Central,435114,210014,225100,1363,157,1206
2005,ND,North Dakota,38,Midwest,West North Central,431784,208918,222866,1385,155,1230
2004,ND,North Dakota,38,Midwest,West North Central,429204,207721,221483,1327,129,1198
2003,ND,North Dakota,38,Midwest,West North Central,423209,205559,217650,1239,113,1126
2002,ND,North Dakota,38,Midwest,West North Central,420637,204709,215928,1112,103,1009
2001,ND,North Dakota,38,Midwest,West North Central,419093,204194,214899,1111,101,1010
2000,ND,North Dakota,38,Midwest,West North Central,418003,203955,214048,1076,68,1008
1999,ND,North Dakota,38,Midwest,West North Central,418312,204050,214262,943,70,873
1998,ND,North Dakota,38,Midwest,West North Central,419648,204834,214814,915,69,846
1997,ND,North Dakota,38,Midwest,West North Central,419793,204833,214960,797,62,735
1996,ND,North Dakota,38,Midwest,West North Central,417479,203557,213922,722,45,677
1995,ND,North Dakota,38,Midwest,West North Central,412387,201141,211246,608,29,579
1994,ND,North Dakota,38,Midwest,West North Central,407941,199182,208759,536,16,520
1993,ND,North Dakota,38,Midwest,West North Central,403796,197323,206473,498,21,477
1992,ND,North Dakota,38,Midwest,West North Central,400774,196028,204746,477,14,463
1991,ND,North Dakota,38,Midwest,West North Central,398612,195206,203406,492,31,461
1990,ND,North Dakota,38,Midwest,West North Central,401832,197149,204683,483,20,463
1989,ND,North Dakota,38,Midwest,West North Central,403953,198093,205860,451,21,430
1988,ND,North Dakota,38,Midwest,West North Central,411207,201686,209521,466,8,458
1987,ND,North Dakota,38,Midwest,West North Central,415116,203418,211698,430,7,423
1986,ND,North Dakota,38,Midwest,West North Central,422462,207082,215380,421,11,410
1985,ND,North Dakota,38,Midwest,West North Central,428630,209829,218801,422,9,413
1984,ND,North Dakota,38,Midwest,West North Central,431970,211384,220586,432,12,420
1983,ND,North Dakota,38,Midwest,West North Central,430579,210749,219830,410,10,400
1982,ND,North Dakota,38,Midwest,West North Central,426865,208899,217966,322,10,312
1981,ND,North Dakota,38,Midwest,West North Central,421038,206043,214995,280,3,277
1980,ND,North Dakota,38,Midwest,West North Central,418530,204651,213879,253,2,251
1979,ND,North Dakota,38,Midwest,West North Central,416506,203655,212851,186,2,184
1978,ND,North Dakota,38,Midwest,West North Central,414131,202352,211779,200,4,196
1977,ND,North Dakota,38,Midwest,West North Central,411172,200945,210227,216,,
1976,ND,North Dakota,38,Midwest,West North Central,406530,198752,207778,162,,
1975,ND,North Dakota,38,Midwest,West North Central,398904,195222,203682,173,,
1974,ND,North Dakota,38,Midwest,West North Central,392241,191660,200581,129,,
1973,ND,North Dakota,38,Midwest,West North Central,387429,188983,198446,155,,
1972,ND,North Dakota,38,Midwest,West North Central,382217,186870,195347,179,,
1971,ND,North Dakota,38,Midwest,West North Central,375252,184116,191136,132,,
1970,ND,North Dakota,38,Midwest,West North Central,367505,180852,186653,147,,
1969,ND,North Dakota,38,Midwest,West North Central,359779,177601,182178,161,,
1968,ND,North Dakota,38,Midwest,West North Central,,,,156,,
1967,ND,North Dakota,38,Midwest,West North Central,,,,182,,
1966,ND,North Dakota,38,Midwest,West North Central,,,,199,,
1965,ND,North Dakota,38,Midwest,West North Central,,,,208,,
1964,ND,North Dakota,38,Midwest,West North Central,,,,240,,
1963,ND,North Dakota,38,Midwest,West North Central,,,,235,,
1962,ND,North Dakota,38,Midwest,West North Central,,,,235,,
1961,ND,North Dakota,38,Midwest,West North Central,,,,228,,
1960,ND,North Dakota,38,Midwest,West North Central,,,,248,,
1955,ND,North Dakota,38,Midwest,West North Central,,,,228,,
1950,ND,North Dakota,38,Midwest,West North Central,,,,235,,
2024,NE,Nebraska,31,Midwest,West North Central,1241529,605164,636365,5846,,
2023,NE,Nebraska,31,Midwest,West North Central,1241529,605164,636365,5792,,
2022,NE,Nebraska,31,Midwest,West North Central,1241529,605164,636365,5649,377,5272
2021,NE,Nebraska,31,Midwest,West North Central,1242533,605393,637140,5600,400,5200
2020,NE,Nebraska,31,Midwest,West North Central,1244992,606817,638175,5306,379,4927
2019,NE,Nebraska,31,Midwest,West North Central,1244161,607057,637104,5682,428,5254
2018,NE,Nebraska,31,Midwest,West North Central,1242799,607540,635259,5491,430,5061
2017,NE,Nebraska,31,Midwest,West North Central,1239742,606662,633080,5313,429,4884
2016,NE,Nebraska,31,Midwest,West North Central,1236192,605926,630266,5302,424,4878
2015,NE,Nebraska,31,Midwest,West North Central,1230019,604016,626003,5372,429,4943
2014,NE,Nebraska,31,Midwest,West North Central,1225200,602709,622491,5441,440,5001
2013,NE,Nebraska,31,Midwest,West North Central,1218622,600882,617740,5026,370,4656
2012,NE,Nebraska,31,Midwest,West North Central,1212699,598965,613734,4705,353,4352
2011,NE,Nebraska,31,Midwest,West North Central,1208216,597646,610570,4616,369,4247
2010,NE,Nebraska,31,Midwest,West North Central,1198621,593471,605150,4587,411,4176
2009,NE,Nebraska,31,Midwest,West North Central,1188375,588728,599647,4474,366,4108
2008,NE,Nebraska,31,Midwest,West North Central,1179287,584047,595240,4520,390,4130
2007,NE,Nebraska,31,Midwest,West North Central,1172861,581094,591767,4505,399,4106
2006,NE,Nebraska,31,Midwest,West North Central,1166317,577392,588925,4407,413,3994
2005,NE,Nebraska,31,Midwest,West North Central,1157981,573374,584607,4455,423,4032
2004,NE,Nebraska,31,Midwest,West North Central,1147127,568200,578927,4130,369,3761
2003,NE,Nebraska,31,Midwest,West North Central,1138301,564227,574074,4040,323,3717
2002,NE,Nebraska,31,Midwest,West North Central,1128597,559417,569180,4058,352,3706
2001,NE,Nebraska,31,Midwest,West North Central,1120032,555513,564519,3937,342,3595
2000,NE,Nebraska,31,Midwest,West North Central,1112140,551846,560294,3895,266,3629
1999,NE,Nebraska,31,Midwest,West North Central,1102172,547541,554631,3688,251,3437
1998,NE,Nebraska,31,Midwest,West North Central,1093489,543758,549731,3676,249,3427
1997,NE,Nebraska,31,Midwest,West North Central,1084469,539932,544537,3402,222,3180
1996,NE,Nebraska,31,Midwest,West North Central,1072773,534700,538073,3287,225,3062
1995,NE,Nebraska,31,Midwest,West North Central,1056405,527279,529126,3074,211,2863
1994,NE,Nebraska,31,Midwest,West North Central,1038774,519066,519708,2711,176,2535
1993,NE,Nebraska,31,Midwest,West North Central,1027543,514071,513472,2518,169,2349
1992,NE,Nebraska,31,Midwest,West North Central,1016970,509064,507906,2514,173,2341
1991,NE,Nebraska,31,Midwest,West North Central,1003045,502601,500444,2526,169,2357
1990,NE,Nebraska,31,Midwest,West North Central,994200,499003,495197,2403,145,2258
1989,NE,Nebraska,31,Midwest,West North Central,990104,497223,492881,2393,143,2250
1988,NE,Nebraska,31,Midwest,West North Central,992534,498568,493966,2156,97,2059
1987,NE,Nebraska,31,Midwest,West North Central,990988,497763,493225,2086,95,1991
1986,NE,Nebraska,31,Midwest,West North Central,997665,501369,496296,2044,85,1959
1985,NE,Nebraska,31,Midwest,West North Central,1005606,505671,499935,1814,70,1744
1984,NE,Nebraska,31,Midwest,West North Central,1009415,507777,501638,1655,73,1582
1983,NE,Nebraska,31,Midwest,West North Central,1007280,507065,500215,1629,58,1571
1982,NE,Nebraska,31,Midwest,West North Central,1007582,507252,500330,1739,81,1658
1981,NE,Nebraska,31,Midwest,West North Central,1007776,507355,500421,1488,62,1426
1980,NE,Nebraska,31,Midwest,West North Central,1004289,505574,498715,1446,56,1390
1979,NE,Nebraska,31,Midwest,West North Central,996081,501478,494603,1291,63,1228
1978,NE,Nebraska,31,Midwest,West North Central,988982,498046,490936,1347,83,1264
1977,NE,Nebraska,31,Midwest,West North Central,978973,493093,485880,1425,,
1976,NE,Nebraska,31,Midwest,West North Central,969180,488500,480680,1438,,
1975,NE,Nebraska,31,Midwest,West North Central,956359,482336,474023,1246,,
1974,NE,Nebraska,31,Midwest,West North Central,946916,477779,469137,1040,,
1973,NE,Nebraska,31,Midwest,West North Central,933083,471100,461983,1006,,
1972,NE,Nebraska,31,Midwest,West North Central,917728,464179,453549,953,,
1971,NE,Nebraska,31,Midwest,West North Central,900331,456709,443622,1040,,
1970,NE,Nebraska,31,Midwest,West North Central,884735,450125,434610,1001,,
1969,NE,Nebraska,31,Midwest,West North Central,869197,443570,425627,937,,
1968,NE,Nebraska,31,Midwest,West North Central,,,,950,,
1967,NE,Nebraska,31,Midwest,West North Central,,,,971,,
1966,NE,Nebraska,31,Midwest,West North Central,,,,1027,,
1965,NE,Nebraska,31,Midwest,West North Central,,,,1151,,
1964,NE,Nebraska,31,Midwest,West North Central,,,,1323,,
1963,NE,Nebraska,31,Midwest,West North Central,,,,1411,,
1962,NE,Nebraska,31,Midwest,West North Central,,,,1316,,
1961,NE,Nebraska,31,Midwest,West North Central,,,,1328,,
1960,NE,Nebraska,31,Midwest,West North Central,,,,1269,,
1955,NE,Nebraska,31,Midwest,West North Central,,,,1080,,
1950,NE,Nebraska,31,Midwest,West North Central,,,,1147,,
2024,NH,New Hampshire,33,Northeast,New England,908946,446347,462599,2144,,
2023,NH,New Hampshire,33,Northeast,New England,908946,446347,462599,2104,,
2022,NH,New Hampshire,33,Northeast,New England,908946,446347,462599,2086,154,1932
2021,NH,New Hampshire,33,Northeast,New England,910620,447627,462993,2127,148,1979
2020,NH,New Hampshire,33,Northeast,New England,910780,448532,462248,2352,184,2168
2019,NH,New Hampshire,33,Northeast,New England,911704,449816,461888,2691,228,2463
2018,NH,New Hampshire,33,Northeast,New England,911775,450074,461701,2722,231,2491
2017,NH,New Hampshire,33,Northeast,New England,912398,451365,461033,2750,226,2524
2016,NH,New Hampshire,33,Northeast,New England,911214,451389,459825,2818,227,2591
2015,NH,New Hampshire,33,Northeast,New England,909978,451321,458657,2897,236,2661
2014,NH,New Hampshire,33,Northeast,New England,910276,452493,457783,2963,248,2715
2013,NH,New Hampshire,33,Northeast,New England,907850,452541,455309,3018,237,2781
2012,NH,New Hampshire,33,Northeast,New England,909640,454405,455235,2790,207,2583
2011,NH,New Hampshire,33,Northeast,New England,910364,455606,454758,2614,170,2444
2010,NH,New Hampshire,33,Northeast,New England,906643,454542,452101,2761,201,2560
2009,NH,New Hampshire,33,Northeast,New England,905872,454302,451570,2731,167,2564
2008,NH,New Hampshire,33,Northeast,New England,905971,453905,452066,2702,181,2521
2007,NH,New Hampshire,33,Northeast,New England,904378,453059,451319,2943,202,2741
2006,NH,New Hampshire,33,Northeast,New England,900526,450944,449582,2805,172,2633
2005,NH,New Hampshire,33,Northeast,New England,891859,446762,445097,2530,133,2397
2004,NH,New Hampshire,33,Northeast,New England,882182,442160,440022,2448,119,2329
2003,NH,New Hampshire,33,Northeast,New England,872423,436976,435447,2434,117,2317
2002,NH,New Hampshire,33,Northeast,New England,861109,431598,429511,2451,144,2307
2001,NH,New Hampshire,33,Northeast,New England,848189,425253,422936,2392,129,2263
2000,NH,New Hampshire,33,Northeast,New England,833596,418282,415314,2257,120,2137
1999,NH,New Hampshire,33,Northeast,New England,818369,410548,407821,2257,117,2140
1998,NH,New Hampshire,33,Northeast,New England,804007,403392,400615,2169,116,2053
1997,NH,New Hampshire,33,Northeast,New England,792300,397408,394892,2168,109,2059
1996,NH,New Hampshire,33,Northeast,New England,779811,391137,388674,2062,105,1957
1995,NH,New Hampshire,33,Northeast,New England,765324,383892,381432,2015,109,1906
1994,NH,New Hampshire,33,Northeast,New England,753879,378181,375698,2021,110,1911
1993,NH,New Hampshire,33,Northeast,New England,746807,374610,372197,1775,86,1689
1992,NH,New Hampshire,33,Northeast,New England,741178,371992,369186,1777,79,1698
1991,NH,New Hampshire,33,Northeast,New England,740870,372279,368591,1533,73,1460
1990,NH,New Hampshire,33,Northeast,New England,750954,376452,374502,1342,44,1298
1989,NH,New Hampshire,33,Northeast,New England,748445,374995,373450,1166,38,1128
1988,NH,New Hampshire,33,Northeast,New England,736420,369424,366996,1019,24,995
1987,NH,New Hampshire,33,Northeast,New England,719416,361186,358230,867,18,849
1986,NH,New Hampshire,33,Northeast,New England,697660,350258,347402,782,22,760
1985,NH,New Hampshire,33,Northeast,New England,675878,339919,335959,683,18,665
1984,NH,New Hampshire,33,Northeast,New England,659115,331695,327420,581,14,567
1983,NH,New Hampshire,33,Northeast,New England,642930,324005,318925,479,14,465
1982,NH,New Hampshire,33,Northeast,New England,633274,319768,313506,445,10,435
1981,NH,New Hampshire,33,Northeast,New England,624765,315755,309010,398,7,391
1980,NH,New Hampshire,33,Northeast,New England,613914,310495,303419,326,5,321
1979,NH,New Hampshire,33,Northeast,New England,602624,304530,298094,316,5,311
1978,NH,New Hampshire,33,Northeast,New England,586188,296101,290087,283,6,277
1977,NH,New Hampshire,33,Northeast,New England,566246,285922,280324,239,,
1976,NH,New Hampshire,33,Northeast,New England,544230,274632,269598,248,,
1975,NH,New Hampshire,33,Northeast,New England,527003,265744,261259,250,,
1974,NH,New Hampshire,33,Northeast,New England,514648,259548,255100,219,,
1973,NH,New Hampshire,33,Northeast,New England,500442,252454,247988,277,,
1972,NH,New Hampshire,33,Northeast,New England,482318,243695,238623,240,,
1971,NH,New Hampshire,33,Northeast,New England,464929,235583,229346,213,,
1970,NH,New Hampshire,33,Northeast,New England,448893,228168,220725,244,,
1969,NH,New Hampshire,33,Northeast,New England,432864,220756,212108,215,,
1968,NH,New Hampshire,33,Northeast,New England,,,,224,,
1967,NH,New Hampshire,33,Northeast,New England,,,,222,,
1966,NH,New Hampshire,33,Northeast,New England,,,,205,,
1965,NH,New Hampshire,33,Northeast,New England,,,,205,,
1964,NH,New Hampshire,33,Northeast,New England,,,,198,,
