Complaint_ID,Tax_ID,Board_Discipline_Recommendation,Officer_is_APU,Officer_Penalty
201211468,920679,,Yes,
202204715,964483,Substantiated (Command Discipline B),Yes,
200404782,906356,,No,Vacation: 45 days / Instructions
201603830,947479,,No,Instructions
202105940,933088,Substantiated (Command Discipline A),No,Closed Administratively (Command Discipline - A)
202203451,935012,Substantiated (Command Discipline A),No,Command Discipline - A
200904543,939941,,No,No penalty
200803579,934818,,No,No penalty
202400116,964870,Substantiated (Charges),Yes,APU - Decision Pending
201003201,947701,,No,Command Discipline - B
201709313,961337,,No,Formalized Training
202307568,975615,Substantiated (Formalized Training),No,Formalized Training
202002726,949938,Substantiated (Charges),Yes,
200406985,929038,,No,Instructions
202401954,970485,Substantiated (Formalized Training),No,
200407166,904464,,No,Command Discipline - A
202307808,953342,Substantiated (Command Discipline A),No,No penalty
201602403,930561,,No,Instructions
202100617,939384,Substantiated (Charges),Yes,Forfeit vacation 20 days
200203576,896739,,No,No penalty
201015083,911794,,No,Suspension: 40 days
200814833,910548,,No,Command Discipline - B
201704663,930927,,No,Formalized Training
202202571,945802,Substantiated (Command Discipline A),No,No penalty
201201436,945204,,No,Instructions
200003237,905449,,No,
202306915,970912,Substantiated (Command Discipline A),No,No penalty
202103794,952202,Substantiated (Charges),Yes,APU - Decision Pending
200510737,931972,,No,Instructions
201508604,949470,,No,
202002304,961948,Substantiated (Command Discipline B),No,No penalty
201016180,930121,,No,Instructions
201905334,931081,Substantiated (Command Discipline A),No,No penalty
202002825,945633,Substantiated (Charges),Yes,
202306397,951193,Substantiated (Command Discipline A),No,No penalty
202207257,941319,Substantiated (Charges),Yes,APU - Decision Pending
201411610,949529,,No,
201707753,937240,,No,Formalized Training
201202218,930170,,No,Instructions
202107688,965589,Substantiated (Command Discipline B),No,No penalty
201509552,946469,,No,No penalty
201802606,955717,,No,Instructions
200612999,937169,,No,Command Discipline - B
201605109,940091,,No,No penalty
201405184,933664,,No,Formalized Training
202300276,970545,Substantiated (Command Discipline A),No,No penalty
200512828,930346,,No,Vacation: 8 days
202100859,955814,Substantiated (Charges),Yes,Forfeit vacation 3 days
201114388,935104,,No,Instructions
202200726,961850,Substantiated (Command Discipline A),No,No penalty
201406305,936158,,Yes,
201906504,958695,Substantiated (Formalized Training),No,Formalized Training
202000571,935969,Substantiated (Command Discipline A),No,Command Discipline - A
201402388,945001,,No,Command Discipline - B
202101965,961494,Substantiated (Formalized Training),No,Formalized Training
202101100,965775,Substantiated (Formalized Training),No,
200801175,933145,,No,Command Discipline - B
202301152,949076,Substantiated (Charges),Yes,APU - Decision Pending
201702813,928869,,No,Command Discipline - A
202002623,930285,Substantiated (Command Discipline A),No,No penalty
200901017,946321,,No,Instructions
201404953,935991,,Yes,Forfeit vacation 3 days
201300702,930421,,No,No penalty
201305469,921949,,Yes,Forfeit vacation 5 days
201312036,950173,,Yes,Forfeit vacation 5 days
202303078,967726,Substantiated (Command Discipline B),No,No penalty
202106260,932351,Substantiated (Charges),Yes,Forfeit vacation 5 days / Command Discipline A
200504839,920318,,No,Instructions
202000878,950047,Substantiated (Command Discipline A),No,No penalty
201902372,916007,,No,Instructions
201701700,949746,,No,Instructions
200406568,894209,,No,
200103750,904971,,No,Vacation: 15 days
201204226,942495,,Yes,Formalized Training
201604697,941288,,Yes,
201701610,960674,,No,Formalized Training
202300017,970249,Substantiated (Charges),Yes,APU - Decision Pending
200609794,935446,,No,No penalty
201603587,948739,,No,Formalized Training
202405408,968372,Substantiated (Command Discipline A),No,
202008510,958104,Substantiated (Formalized Training),No,
201804763,948251,,No,Formalized Training
202400900,965302,Substantiated (Formalized Training),No,
201309266,913247,,Yes,Instructions
201908545,950049,Substantiated (Charges),No,
201212122,947985,,Yes,
200807753,917649,,No,Vacation: 15 days
201305421,942705,,No,Instructions
202306306,960366,Substantiated (Charges),Yes,APU - Decision Pending
201902684,946638,,No,Instructions
200503708,890106,,No,Instructions
201910389,954285,Substantiated (Charges),Yes,Formalized Training
200406903,924039,,No,Instructions
202304721,961985,Substantiated (Charges),Yes,APU - Decision Pending
202002726,945645,Substantiated (Charges),Yes,
200701549,932957,,No,No penalty
200513995,929745,,No,Instructions
202303787,942728,Substantiated (Command Discipline A),No,No penalty
200303150,904090,,No,Vacation: 15 days / Instructions
200904056,941247,,No,Command Discipline - B
200307723,905151,,No,Command Discipline - A
201606171,953255,,No,No penalty
202006932,948658,Substantiated (Command Discipline B),No,No penalty
202304014,967818,Substantiated (Command Discipline B),No,No penalty
200718580,897333,,No,
202106165,931391,Substantiated (Command Discipline A),No,Command Discipline - A
200704280,922068,,No,No penalty
202001676,961950,Substantiated (Charges),Yes,
201204520,943905,,No,Command Discipline - B
201910281,965869,Substantiated (Command Discipline A),No,No penalty
202300541,960869,Substantiated (Command Discipline B),No,No penalty
201706170,956154,,No,No penalty
200808337,918992,,No,No penalty
201309523,920865,,No,No penalty
200902745,933155,,No,
202200378,944116,Substantiated (Formalized Training),No,Formalized Training
202308047,974325,Substantiated (Formalized Training),No,Formalized Training
202104131,963668,Substantiated (Command Discipline A),No,No penalty
201608806,901544,,No,Formalized Training
202001304,959503,Substantiated (Command Discipline A),No,No penalty
200406111,922869,,No,Instructions
202403185,970830,Substantiated (Command Discipline B),No,
201806932,958788,,No,Command Discipline - A
200103492,907398,,No,Vacation: 10 days
200006144,920682,,No,
202306305,967471,Substantiated (Command Discipline A),No,Command Discipline - A
